2024-10-07 21:54:36,875 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:54:36,876 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of maven_proyecto
2024-10-07 21:54:36,876 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for maven_proyecto
2024-10-07 21:54:36,880 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:54:38,752 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:54:38,754 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:54:38,755 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:54:38,756 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:54:53,320 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-10-07 21:54:53,852 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ecodeup.mave:maven_proyecto:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\pom.xml.
2024-10-07 21:54:55,710 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven_proyecto/src/main/java
2024-10-07 21:54:55,711 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /maven_proyecto/src/main/resources
2024-10-07 21:54:55,712 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven_proyecto/src/test/java
2024-10-07 21:54:56,879 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for maven_proyecto
2024-10-07 21:54:56,885 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2024-10-07 21:54:59,831 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:54:59,833 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:54:59,834 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:54:59,835 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:54:59,836 [Worker-16] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of maven_proyecto
2024-10-07 21:54:59,836 [Worker-16] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for maven_proyecto
2024-10-07 21:54:59,840 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:56:50,913 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:56:50,916 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:56:50,917 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:56:50,918 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:57:07,764 [Worker-21] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
